grid_row,grid_col,probability,hour
6606.0,255.0,1.4640446559679748e-06,7.0
6606.0,255.0,2.1131662745536404e-06,8.0
6606.0,255.0,2.67875967626867e-06,9.0
6606.0,255.0,3.047315731676175e-06,10.0
6606.0,255.0,3.0855239644350273e-06,11.0
6606.0,255.0,2.910379656606115e-06,12.0
6606.0,255.0,3.08078279686641e-06,13.0
6606.0,255.0,2.99627845726106e-06,14.0
6606.0,255.0,2.7756747192154037e-06,15.0
6606.0,255.0,2.864362441969537e-06,16.0
6606.0,255.0,2.7714913360666263e-06,17.0
6606.0,255.0,2.7666107223930487e-06,18.0
6606.0,255.0,2.8096995688254786e-06,19.0
6606.0,255.0,2.8062134162014955e-06,20.0
6606.0,255.0,2.773025243221175e-06,21.0
6606.0,255.0,2.327634383981085e-06,22.0
6606.0,255.0,2.1127479362387603e-06,23.0
6606.0,256.0,2.2569554918363898e-05,0.0
6606.0,256.0,2.027122957026169e-05,1.0
6606.0,256.0,1.8140353640378363e-05,2.0
6606.0,256.0,1.6741658499961808e-05,3.0
6606.0,256.0,1.3537136300322126e-05,4.0
6606.0,256.0,1.2849280356854414e-05,5.0
6606.0,256.0,1.3666827516393633e-05,6.0
6606.0,256.0,1.723579844980383e-05,7.0
6606.0,256.0,2.4877730232243738e-05,8.0
6606.0,256.0,3.1536307097888485e-05,9.0
6606.0,256.0,3.587521702291296e-05,10.0
6606.0,256.0,3.6325032126755787e-05,11.0
6606.0,256.0,3.426310595731553e-05,12.0
6606.0,256.0,3.626921565401616e-05,13.0
6606.0,256.0,3.52743691104805e-05,14.0
6606.0,256.0,3.267726146712496e-05,15.0
6606.0,256.0,3.3721357839548565e-05,16.0
6606.0,256.0,3.2628011638237086e-05,17.0
6606.0,256.0,3.2570553504534525e-05,18.0
6606.0,256.0,3.3077826742079915e-05,19.0
6606.0,256.0,3.3036785218006664e-05,20.0
6606.0,256.0,3.2646069908829274e-05,21.0
6606.0,256.0,2.740260479323033e-05,22.0
6606.0,256.0,2.487280524935492e-05,23.0
6606.0,257.0,8.191267036005926e-06,0.0
6606.0,257.0,7.357125789976817e-06,1.0
6606.0,257.0,6.583757691872688e-06,2.0
6606.0,257.0,6.0761231621463776e-06,3.0
6606.0,257.0,4.913091939111494e-06,4.0
6606.0,257.0,4.663445380478504e-06,5.0
6606.0,257.0,4.9601613379945744e-06,6.0
6606.0,257.0,6.255463530042652e-06,7.0
6606.0,257.0,9.028983173089463e-06,8.0
6606.0,257.0,1.144560952587096e-05,9.0
6606.0,257.0,1.3020349035338804e-05,10.0
6606.0,257.0,1.3183602393490205e-05,11.0
6606.0,257.0,1.2435258532766949e-05,12.0
6606.0,257.0,1.316334467751521e-05,13.0
6606.0,257.0,1.2802280681019758e-05,14.0
6606.0,257.0,1.1859701073006851e-05,15.0
