time_call_received,triage_impression_during_call,grid_id,duration_incident_creation,duration_resource_appointment,duration_resource_preparing_departure,duration_dispatching_to_scene,duration_at_scene,duration_dispatching_to_hospital,duration_at_hospital,duration_dispatching_to_depot
2019-03-20 18:12:49,H,22650006646000,143,30,169,60,736,700,791,1051
2019-03-20 18:13:47,H,22620006649000,89,30,102,513,4952,331,1026,367
2019-03-20 18:15:33,H,22630006653000,154,30,3,670,1237,221,1841,1196
2019-03-20 18:24:39,V1,22620006649000,4,30,124,853,638,498,360,1126
2019-03-20 18:26:16,H,22770006654000,191,30,120,501,1241,520,1052,1059
2019-03-20 18:27:00,A,22710006652000,39,30,32,724,6792,0,0,942
2019-03-20 18:27:40,A,22550006624000,18,30,83,522,2787,0,0,732
2019-03-20 18:29:59,H,22600006650000,442,30,100,322,1573,356,400,719
2019-03-20 18:31:51,A,22610006650000,422,30,62,555,1307,188,503,1912
2019-03-20 18:32:38,H,22630006650000,237,30,31,297,3343,292,1592,432
2019-03-20 18:38:48,H,22890006655000,65,30,132,1439,1378,1489,933,3037
2019-03-20 18:43:38,H,22620006649000,334,30,1,568,1002,331,472,1126
2019-03-20 18:44:33,H,22540006651000,88,30,77,189,1722,0,0,266
2019-03-20 18:44:46,H,22620006650000,107,30,9,322,4356,0,0,531
2019-03-20 18:45:56,A,22790006657000,179,30,56,501,578,756,1004,3270
2019-03-20 18:48:09,A,22690006652000,29,30,0,221,2270,0,0,310
2019-03-20 18:50:22,A,22650006642000,51,30,1,433,1595,0,0,607
2019-03-20 18:52:30,A,22700006652000,78,30,49,374,978,861,814,970
2019-03-20 18:57:20,A,22700006654000,48,30,4,60,3965,0,0,78
